Unique ID,Geo Type Name
166713,CD
166772,CD
213607,CD
213632,CD
602701,Borough
825765,UHF42
165804,CD
603099,CD
518953,UHF42
518939,UHF42
628495,UHF42
131410,Borough
165853,CD
165971,CD
550156,CD
550158,CD
213253,CD
213278,CD
213241,CD
175973,UHF42
628550,UHF42
131256,UHF42
628482,Borough
628497,UHF42
165929,CD
165811,CD
550032,CD
603009,CD
643621,CD
602974,CD
826002,CD
740971,UHF42
179350,Borough
179355,Borough
175975,UHF42
175933,UHF42
518829,UHF42
131543,UHF42
131544,UHF42
130919,UHF42
827597,UHF42
518808,UHF42
518828,UHF42
628569,UHF42
649774,UHF42
823279,UHF42
212705,UHF42
411095,CD
411096,CD
649771,UHF42
823216,UHF42
742177,UHF42
177890,UHF42
410780,UHF42
177847,UHF42
742270,UHF42
410817,UHF42
410814,UHF42
334065,UHF42
178603,UHF42
334062,UHF42
742272,UHF42
742394,CD
169528,CD
518818,UHF42
518789,Borough
628549,UHF42
740929,UHF42
412418,Borough
412419,Borough
175990,UHF42
643585,CD
165752,CD
213236,CD
603010,CD
165781,CD
603061,CD
213248,CD
179345,Borough
175891,UHF42
740931,UHF42
549797,UHF42
175432,UHF42
643626,CD
167551,CD
213425,CD
167652,CD
336599,UHF42
643427,UHF42
219979,Borough
222625,UHF42
222624,UHF42
411991,Borough
412030,UHF42
222498,UHF42
222499,UHF42
742466,CD
410968,CD
669937,CD
650025,CD
213944,CD
170295,CD
649935,CD
177322,UHF42
178477,UHF42
151638,UHF42
151660,UHF42
816787,CD
154573,CD
154602,CD
151635,UHF42
179575,Borough
179580,Borough
410726,Borough
410771,UHF42
177865,UHF42
212312,UHF42
175271,UHF42
212320,UHF42
643384,UHF42
825729,UHF42
212299,UHF42
643345,UHF42
175253,UHF42
826048,CD
412717,CD
166889,CD
825841,CD
825835,CD
166891,CD
603026,CD
166832,CD
741218,CD
336738,CD
412715,CD
166747,CD
166773,CD
166714,CD
412805,CD
602737,UHF42
212310,UHF42
602710,UHF42
643324,UHF42
213606,CD
550048,CD
603021,CD
213582,CD
669880,CD
334186,CD
334219,CD
649932,CD
170354,CD
177869,UHF42
167699,CD
826037,CD
167711,CD
825760,UHF42
179435,Borough
825748,UHF42
211377,Borough
549842,UHF42
179440,Borough
549752,Borough
175895,UHF42
742198,UHF42
130402,UHF42
179809,Borough
179801,UHF42
823280,UHF42
823289,UHF42
178537,UHF42
178530,UHF42
179660,Borough
178551,UHF42
179665,Borough
178579,UHF42
547450,UHF42
179570,Borough
547360,Borough
742212,UHF42
518809,UHF42
131510,UHF42
628543,UHF42
823261,UHF42
169415,CD
177149,UHF42
823273,UHF42
177874,UHF42
177832,UHF42
410798,UHF42
410765,UHF42
177821,UHF42
177863,UHF42
410744,UHF42
130407,UHF42
178577,UHF42
333984,UHF42
169486,CD
169545,CD
823566,CD
605912,CD
518791,Borough
165745,CD
603100,CD
165794,CD
165769,CD
175343,UHF42
175438,UHF42
667184,UHF42
175448,UHF42
336584,UHF42
643328,UHF42
643370,UHF42
643323,UHF42
175887,UHF42
175341,UHF42
176685,UHF42
177830,UHF42
177872,UHF42
179799,UHF42
178526,UHF42
177777,UHF42
178575,UHF42
177231,UHF42
333978,UHF42
178586,UHF42
177770,UHF42
178491,UHF42
333976,UHF42
669814,UHF42
212802,UHF42
212795,UHF42
669835,UHF42
170345,CD
823211,CD
213782,CD
649978,CD
823487,CD
167725,CD
178502,UHF42
177326,UHF42
177315,UHF42
669813,UHF42
213758,CD
650004,CD
669916,CD
334291,CD
650010,CD
333947,Borough
649658,Borough
816903,Borough
823422,UHF34
742321,UHF34
173657,UHF34
211869,UHF34
173113,UHF34
823381,UHF34
742345,UHF34
410888,UHF34
173644,UHF34
173642,UHF34
173676,UHF34
742315,UHF34
211971,UHF34
174201,UHF34
173181,UHF34
173623,UHF34
174269,UHF34
547552,UHF34
742317,UHF34
173166,UHF34
173608,UHF34
334107,UHF34
173610,UHF34
547522,UHF34
547528,UHF34
649818,UHF34
174186,UHF34
174188,UHF34
823210,CD
605980,CD
410978,CD
649906,CD
547648,CD
742443,CD
176528,UHF42
176517,UHF42
176601,UHF42
602983,CD
165778,CD
603052,CD
213239,CD
643597,CD
165896,CD
166663,CD
222453,UHF42
222452,UHF42
175299,UHF42
667107,UHF42
212565,UHF42
175376,UHF42
176574,UHF42
667064,UHF42
550109,CD
167784,CD
166781,CD
166722,CD
518896,UHF42
518907,UHF42
628456,UHF42
550008,CD
602731,UHF42
825768,UHF42
825699,UHF42
175260,UHF42
165947,CD
165829,CD
667539,CD
550084,CD
667815,CD
131385,UHF42
518958,UHF42
628494,UHF42
518956,UHF42
131367,UHF42
827405,UHF42
131223,UHF42
518947,UHF42
550086,CD
603075,CD
643636,CD
826050,CD
602992,CD
213252,CD
643558,CD
825839,CD
213228,CD
643564,CD
628445,UHF42
130788,UHF42
827474,UHF42
178449,UHF42
669780,UHF42
178442,UHF42
168551,CD
169318,CD
216448,CD
412087,CD
131371,UHF42
742441,CD
170251,CD
168658,CD
669893,CD
669562,CD
334196,CD
649907,CD
169354,CD
169413,CD
742510,CD
649980,CD
131323,UHF42
131334,UHF42
131316,UHF42
827426,UHF42
166699,CD
166758,CD
602981,CD
165770,CD
518796,UHF42
131537,UHF42
131511,UHF42
131527,UHF42
131518,UHF42
518814,UHF42
628553,UHF42
212688,UHF42
649669,UHF42
605671,UHF42
177833,UHF42
177831,UHF42
177820,UHF42
177815,UHF42
130401,UHF42
130408,UHF42
742170,UHF42
169487,CD
605987,CD
823494,CD
411019,CD
742487,CD
823169,CD
605909,CD
628542,UHF42
518803,UHF42
518794,UHF42
175932,UHF42
741173,CD
166840,CD
166899,CD
175436,UHF42
176559,UHF42
650941,UHF42
338173,UHF42
176594,UHF42
212417,UHF42
643419,UHF42
667255,UHF42
336548,UHF42
412484,UHF42
167666,CD
336734,CD
643634,CD
213416,CD
167548,CD
667543,CD
167525,CD
167643,CD
167607,CD
334195,CD
649908,CD
170321,CD
213970,CD
547717,CD
169295,CD
170416,CD
178484,UHF42
178418,UHF42
178506,UHF42
333999,UHF42
178593,UHF42
212810,UHF42
178414,UHF42
649710,UHF42
212831,UHF42
334060,UHF42
669730,UHF42
178425,UHF42
178509,UHF42
649701,UHF42
179645,Borough
742242,UHF42
178594,UHF42
742245,UHF42
823158,CD
213767,CD
823159,CD
740886,Borough
336483,Borough
740976,UHF42
175359,UHF42
179430,Borough
336526,UHF42
825846,CD
643356,UHF42
178411,UHF42
333988,UHF42
178488,UHF42
178415,UHF42
649930,CD
168419,CD
166890,CD
166831,CD
826075,CD
167557,CD
667118,UHF42
643349,UHF42
412015,UHF42
412004,UHF42
411993,Borough
167716,CD
826016,CD
742194,UHF42
606059,CD
170182,CD
170300,CD
213949,CD
334004,UHF42
649757,UHF42
151626,UHF42
816753,CD
816777,CD
154566,CD
154615,CD
154608,CD
154590,CD
213961,CD
170337,CD
170219,CD
213986,CD
170359,CD
410732,Borough
177870,UHF42
165762,CD
603004,CD
826071,CD
165760,CD
602998,CD
823303,UHF42
177146,UHF42
742456,CD
649747,UHF42
410820,UHF42
177776,UHF42
547453,UHF42
410995,CD
742427,CD
169479,CD
169538,CD
823187,CD
742493,CD
628533,UHF42
412448,UHF42
165790,CD
549875,UHF42
166852,CD
166911,CD
603086,CD
412681,CD
412687,CD
167560,CD
213451,CD
167678,CD
412460,UHF42
213254,CD
603028,CD
643696,CD
175337,UHF42
549773,UHF42
336525,UHF42
176573,UHF42
336557,UHF42
643346,UHF42
336518,UHF42
740926,UHF42
222415,UHF42
222414,UHF42
826049,CD
167715,CD
167691,CD
825834,CD
167717,CD
178463,UHF42
177337,UHF42
151627,UHF42
151643,UHF42
816755,CD
816756,CD
816804,CD
816803,CD
816751,CD
154591,CD
816856,UHF42
170193,CD
605971,CD
411038,CD
411003,CD
411002,CD
169422,CD
169363,CD
742519,CD
742393,CD
169351,CD
